year,sentence
1965,"Original paintings including T H Benton's Rice Threshing offered for trading stamps by King Korn Stamp Co Benton Painting Offered for 1,975 King Korn Books"
2017,Got a half-hour? Maybe more? Our TV Critic Margaret Lyons has you covered. How Much Watching Time Do You Have This Weekend?
2015,"Photos from France, Germany, London, Austria. Pictures of the Day — Jan. 13, 2015"
1997,"KAHN-Joseph Gabriel, 84. Beloved husband of Lenore, father of Richard, Robert and William and grandfather of six. Courageous multi-prize winning reporter for the New York Post, teacher and distinguished water colorist. Artist in Residence, NYC Parks Department. Memorial Service 1:00PM, December 12, The Jewish Home and Hospital, 120 West 106th Street, Manhattan. Paid Notice: Deaths  KAHN, JOSEPH GABRIEL"
1970,"Dr. Donald F. Hornig, who was recently inaugurated as Brown University's 14th pres ident, will be the guest of honor and principal speaker at the Brown Club on Oct. 21, when the club holds its 102d annual dinner here. Brown Club Plans Dinner"
1966,"DALLAS, April 22 (UPI)  The nation's top-ranked amateur player, Dennis Ralston, beat Frank Froehling, 6-3, 3-6, 8-6, today as rain forced the Dallas invitation tournament to move indoors to the Samuel Grand Tennis Center.   Ralston Beats Froehling, 6-3, 3-6, 8-6, in Dallas Tennis; RAIN FORCES PLAY TO MOVE INDOORS Holmberg Downs Richey and Ashe Beats Richardson in Quarter-Final Matches "
2007,"NEW YORK — In front of a swarm of television cameras and about 100 media members at the Hyatt in Midtown tonight, Commissioner Mike Tranghese handed out the Big East’s annual hardware.  From Closet to the Penthouse"
1974,1st complete exhibition of medieval and Renaissance illuminated manuscripts from Natl Gallery of Art's Rosenwald Collection will be on exhibit at Natl Gallery through June '75 (S) Briefs on the Arts
1975,"Mayor Beame will appear in a live broadcast from Grade Mansion tonight at 6:03 on Channels 2, 4 and 7. Mayor Speaks Tonight On Three TV Channels"
2006,"Only the family trust that controls the Times Company can change its stock structure, and the company has said repeatedly that the family has no intention of doing so. No Stock-Class Shift, Times Co. Chief Says"
1996,"To the Editor:         I boycott Disney movies, as I find them morally and politically unacceptable. And I understand Mr. Goldberger's impulse to protect classic works from Disneyfication; that is, reinterpretation for wide redistribution (with questionable motives). Some things we hold sacred and hate to see change. Once one has established a personal relationship with a work of art, it is hard to see it reincarnated in a different form.    Cuddly Quasimodo: Is This a Good Thing;Reinterpretations Can Be Good"
1985,"  The leader of the Lebanese Shiite Moslem militia said today that he would join forces with Palestinian guerrillas if Israel kept troops in southern Lebanon and continued to insist on retaining a security zone north of its border, both of which the Israelis have said they will do.   Nabih Berri, the leader of the militia known as Amal, also warned that Shiites would carry out attacks across Israel's northern border if Israel conducted raids into Lebanese territory.   The Shiite leader issued the warning as the Israeli pullout of combat units continued on the third anniversary of the Israeli invasion of Lebanon. Israeli officials have said they would keep soldiers inside Lebanon despite what had been widely interpreted here as a pledge to complete the evacuation of occupied Lebanese territory by the first week of June. LEBANESE SHIITE THREATENS ISRAEL OF ITS SECURITY PLANS IN THE SOUTH"
1966,"Thomas S. Gates, chairman of the Morgan Guaranty Trust Company, told stockholders at the bank's annual meeting March 16 that earnings would rise only ""modestly"" in the first quarter. Yesterday, Morgan Guaranty disclosed that the ""modest"" gain resulted in a historic first-quarter high in net operating earnings.   EARNINGS CLIMB AT MORGAN BANK; Operating Net Put at $1.66 a Share, for 8c Gain  Assets Rise Sharply EARNINGS FIGURES ISSUED BY BANKS "
1960,"Building a Nation's Capital Descriptions of the new capital of Brazil, now in the process being built from the ground up in the space of four years, naturally lead one thoughts back to the founding of another capital, by another young nation.   Topics"
2005," David Oistrakh in Concert  David Oistrakh, violinist; Moscow Philharmonic and Moscow Radio Symphony, conducted by Gennady Rozhdestvensky. EMI Classic Archive 5 99686 9; DVD.        DAVID OISTRAKH was probably the greatest violinist produced by the Soviet Union, which had a special way with violinists. But his musicmaking also possessed a depth, subtlety and humanity that implicitly undermined the very Soviet system of which he was a product.   Did You Hear the One About Handel and the Cuban?"
1980, Shipping/Mails; OUTGOING
1980,"WASHINGTON, Feb. 20--President Carter, whose tastes in the arts range from Bob Dylan to Dylan Thomas, says his favorite paintings are ""American and French Impressionists,"" but that he likes the paintings of El Greco most of all.   Carter Discusses Artists; El Greco Is His Favorite"
1963,"The premature judicial career of a 17-year-old Clifton, N.J., high school senior was cut off in Criminal Court yesterday, less than 100 yards from where it started.   WOULD-BE JUDGE, 17, IS HELD IN FORGERY"
2013,"The song “I’m Old Fashioned” wasn’t about the cocktail, but it’s a standard worth revisiting (and a good excuse to marvel at Fred Astaire’s singing voice). The Old-Fashioned, in Song and Dance"
2011,"Fill in the blanks in these paragraphs taken from a review of the 2011 Grammy Awards. Use your own words and phrases, or choose from a scrambled list of the words or phrases that were removed. Fill-In | The 2011 Grammys"
1984,"   One of two jail inmates who sought out reporters to confess murdering several young women in Oregon and Washington now says it was a lie and part of an escape plot, the authorities said today. Murder Confessions Called Hoax by Police"
1988,"LEAD: Rolando Blackman scored 9 consecutive points in the fourth period tonight to lead the Dallas Mavericks into their first Western Conference championship series with a 108-95 victory over the Denver Nuggets. Mavericks Gain Final; Jazz Ties Series; Mavericks 108, Nuggets 95"
1967,Clark loses case; ct denies his father's petition Student in Amherst Loses Fight on Vietnam Armband
1975,"Brazilian Pres Ernesto Geisel, who has begun gradual liberalization of mil regime, has eased press censorship (S) Sao Paulo, Opposition Center, Feels Impact of Liberalization"
1971,TO THE EDITOR: TV Mailbag
2007,"Michael Bublé wants the world to know that just because he is a swinging crooner from the old school, he is not a good little mama’s boy. A Crooner Who Woos With Modesty, Humor and More Than a Little Swing"
2010,"Sales at HBF, LV Wood Floors and Odegard.  Furniture and Flooring for Less"
2007,"A historic lighthouse in Nantucket, Mass., which has guided boaters home since 1850, is being steered to a safe harbor of its own this weekend. Vintage Lighthouse Heads for Solid Ground"
2008,He Chong won the men’s 3-meter springboard Tuesday by a wide margin. China Adds Men’s Springboard to Gold Cache
2007,"An article on June 8 about legislation in the House aimed at easing restrictions on federal financing of embryonic stem cell research misstated a vote in the Senate in April on similar legislation. With 97 of 100 senators voting, it was 63 to 34  not 63 to 45. Corrections: For the Record"
1993,"UNITED NATIONS, March 6 After talks here on ending the war in Bosnia and Herzegovina did not produce an agreement today, leaders of two of the delegations said they would return home to consult supporters on what to do next.   The Bosnian President, Alija Izetbegovic, struck a positive note, saying in a statement that he would return next week ""with the intention of moving the discussions forward to a sucessful conclusion."" - He is expected to say then whether he is willing to accept fully the three-part peace plan devised by Cyrus R. Vance and Lord Owen, the mediators in the talks.  Accepted Only by the Croats Bosnian Peace Talks Recess For Leaders to Return Home"
1963,"UNITED NATIONS, N. Y., Dec. 10--Indonesia called on the United Nations today to recognize failure in achieving unification of Korea on its declared principles, and to seek practical results by other means. INDONESIA ASKS U.N. FOR SHIFT ON KOREA"
2011,Ford has a  way to reduce a  fear that  electric vehicles will run out of battery power in the middle of a trip. Ford Tries to Relieve Range Anxiety for Electric Car Owners
1961, 3 States Provide Firemen
1974,"Grand jury clears Adolescent Remand Center guards accused of beating 16 inmates after escape attempt last Jan by Clarence Moore, Gilbert Lugo and Wilfredo Benitez; makes 9 recommendations on adm of center, including adm punishment of Health Services Adm employe William Everich because he knew of planned breakout and failed to rept it; believes that at least 1 guard took gun into cellblock and that Correction Dept failed to notify Dist Atty's office of escape attempt, both violations of dept procedure (M) 3 Guards Are Cleared in Rikers Inquiry"
2017,"In a bit of reverse product placement, the spinoff of the Old Forester brand was created for “Kingsman: The Golden Circle” and is now available to buy. Statesman Bourbon Hits the Big Screen and the Shelves"
2005,Janet Maslin reviews book The Fate of Africa: A History of 50 Years of Independence by Martin Meredith; photo (M) Africa and Its Rapacious Leaders
2007,"Roger Federer says he never underestimates his opponents, but his respect for the competition may be the part of his game that frustrates his opponents the most.  The Praise for Federer Is Lobbed Right Back"
1994,*3*** COMPANY REPORTS ** Temple-Inland Inc.  reports earnings for Qtr to Dec 31
1996,"Gene Budig, the American League president, reduced Albert Belle's sentence yesterday, but the Yankees could benefit from the decision even more than the Cleveland Indians.         In slicing two games off his original five-game suspension of Belle, Budig ordered him to sit out the first three games of the Indians' four-game series with the Yankees this weekend. Julian Tavarez, the Indians' relief pitcher, also had a suspension of five games reduced to three and will miss the series with the Boston Red Sox that began last night.    BASEBALL;Belle's Ban Gets Whittled to Three Games"
2009,Some Iranian soccer players wore green arm bands in an apparent political statement about the country's disputed presidential election. Iranian Players Show Support for Opposition at Home
1963,"SEATTLE, Sept. 19--People are on the make economically, culturally and socially in this watery world of fish, shipping, timber and airplanes, and al  though there is, by San Francisco and New York standards, a lot of catching up to do, Seattle is not the end of the world.   Seattle's Small and Conservative Society Puts Accent on Responsibility; Established Families Shun Glamour and Turn to the Arts Never Enough Money Everyone Wants a Monument A Snag in New York Gave Museum to City"
1986,"  HIGH ART By Rubem Fonseca. Translated by Ellen Watson. 345 pp. New York: Harper & Row. $17.95.    THE mass media, print and video, stole their best tricks from literature. A few contemporary novelists are now returning the favor. The most celebrated example is Umberto Eco, whose ''Name of the Rose'' - a hybrid medieval thriller, adventure novel and erudite entertainment - proves that intelligence, learning and esthetic experimentation can be yoked with 19th-century feuilleton devices: suspense, digression, violence, outrageous coincidence and spectacular historical panoramas.   In Latin American literature, the writer Manuel Puig exemplifies this stealing from the mass media. Mr. Puig was inspired by cinema - as were Guillermo Cabrera Infante and, to a lesser degree, Carlos Fuentes. The author of ''Kiss of the Spider Woman,'' Mr. Puig found in films not only themes and an inexhaustible supply of myths but, more important, a narrative technique. Like screenplays, his books - simultaneously visual and spoken - make rapid jumps to the past and the future. Their cinematic allusions constitute a utopian alternative, a fantasy world where people can escape the degradation of their lives. THUGS WHO KNOW THEIR GREEK"
1977,"The result was quite naturally to arouse the keenest expectations for the group's follow&#8208;up disk, which kept being delayed since nobody wanted to squelch the sales of its predecessor. And one isn't just expectant about its commerciality, although it will be fascinating to see if the new altAim, &#8220;Rumours.&#8221; can match or surpass the success of &#8220;Fleetwood Mac.&#8221; Pop Life"
2003,"GEWIRTZ--Dorothy. Congregation Rodeph Sholom mourns the death of Dorothy Gewirtz. We will miss her indomitable spirit, devotion to family and friends and her courage under affliction. Our deepest sympathy is extended to her devoted husband, Arthur, our beloved Rabbi Matthew Gewirtz and Lauren Rutkin and all their dear ones. Robert N. Levine, D.D., Senior Rabbi Nancy Solomon, President >>AD# Paid Notice: Deaths   GEWIRTZ, , DOROTHY"
2008,"In Chicago, people know their alleys and how to use them, whether they’re tossing a football, throwing out the garbage or dodging the news media like Illinois Gov. Rod. R. Blagojevich. He Ducked Back Down the Alley …"
1981,  The Ashland Oil Company said it had agreed in principle to acquire the crude oil gathering and transportation system and related assets of the Scurlock Oil Company of Houston. Ashland to Buy Pipeline System
2006,"Of all New York's Automats, a little tooth-white building at 104 West 57th Street was among the best known. Its wide-mouthed, Art Moderne facade, completed in 1938, mimicked the food slots inside, with their steaming plates of mashed potatoes and creamed spinach. Its interior was typically ornate, with a patterned terrazzo floor, a six-foot-wide clock, and dolphin-shaped coffee spigots.     Because of its location just east of Carnegie Hall, this Automat, flagship of the Horn & Hardart chain, was popular with performers, would-be performers and nostalgic has-beens. ''There were all these done-up old ladies who thought they were Veronica Lake,'' recalled Lorraine Diehl, a co-author of the 2002 book ''The Automat,'' who had a summer job on 57th Street in 1958.   For the Flagship Automat, the Future Grows Dark"
2005,"Dorothy Greenberg letter says there were no strollers when her children were young and that walking is healthy for children, (Sept 27 letters) Forget Strollers!"
2011,"Karl Lagerfeld’s collection had the wispy, vague, slightly deliberated quality of the Laurencin portrait of Chanel, with the graphic element supplied by narrow black jeans that were in plain stretch cotton or embroidered. Chanel: Eat Fast, Walk Fast"
1997,"Dino Tomassetti and Rocco Tomassetti, owners and executives of Laquila Construction Inc, company that poured defective concrete at Donald J Trump's Riverside South complex on Upper West Side, have been banned from competing for city contracts and have long history of trouble with law enforcement officials, including indictments by New York and New Jersey (M) A Concrete Subcontractor for Trump Has Been Banned From City Contracts"
1974,Influx of Indians from reservations and small towns into cities of West Canada brings racial strife identical to that in US when blacks migrated to cities; Canadian Anglo-Saxon soc has simply ignored Indians up until present time; their problems discussed (M) Indian In flux Bring Racial Strife to West Canada Cities
1970, Yonkers Results
1996,"FOR years, advertising for pet food has relied on gimmicks like miniature chuck wagons or singing cats. In its first campaign for Sheba cat food, BBDO West takes a different tack.         In commercials that began running this week, vignettes depict felines at work: massaging a woman's back, looking as attentive as a therapist as the cat's owner complains, delivering a rough-tongued wake-up call.    THE MEDIA BUSINESS: ADVERTISING;BBDO West goes out on a limb, at least a little bit, in commercials for Sheba cat food."
1985,"The running back Gary Anderson ran for one touchdown and passed for another today to lead the Tampa Bay Bandits to a 21-10 victory over the Jacksonville Bulls.         By winning, the Bandits bolstered their record to 9-3, the league's best.    U.S.F.L.;Bandits Defeat Bulls"
1973,"DETROIT &#8212; People come to Harry Zerbo, a 36&#8208;year&#8208;old former chinchilla raiser who runs a health food store here, for the foot treatment he says is the key to better health. A Health Food Store Owner With Theories of His Own"
2005, To the Editor:     Re ''The Broken Chord'' by Daniel J. Wakin [Dec. 11]:   Power Players
1991,"  BARRY CORBIN, an actor in ""Northern Exposure,"" learned last month that he has a 26-year-old daughter, SHANNON ROSS, living in Texas. Ms. Ross was given up for adoption in Texas in 1965 by her mother, who had not told Mr. Corbin she was pregnant. Ms. Ross got in touch with her biological mother, whose name she would not disclose, and thus found her father, who lives in Seattle.    She sought genetic information from her natural parents because of her own medical problems. ""She is having trouble with her pregnancy now,"" said Elizabeth Much, Mr. Corbin's publicity agent, ""and asking questions about the child she now has."" CHRONICLE"
1962,"Govt repts new Pathet Lao drive toward Houei Sai, last major Govt post N of Luan Prabang Leftists in New Drive"
2006,"Op-Ed article by Martin Burcharth, US correspondent for Danish newspaper Information, holds that there seems to be some surprise that Danish people and their government are standing behind Jyllands-Posten newspaper and its decision to publish cartoons of Prophet Muhammad; maintains that Danes have grown increasingly xenophobic over years, and there is climate of pervasive hostility toward anything Muslim in Denmark; notes that there are over 200,000 Muslims in Denmark, country with population of 5.4 million; contends that Islam has come to be viewed by many as threat to survival of Danish culture (M) Capture the Flag"
1962,Trustees bd election; M A Van Nostrand pres Polyclinic Board Elects President and Officers
1960,A Paton by Freedom House Alan Paton Will Get 1960 Freedom Award
